 DateTime,Rain,PET,EPot,EAct,W,SM,RS,RI,ExcS,ExcI,R,RObs
2010- 5-20  0: 0: 0,     0.844,     3.309,     4.080,     3.050,   214.972,     0.820,     0.608,     1.770,     0.010,     0.024,   121.185,   129.000
2010- 5-21  0: 0: 0,    21.269,     0.931,     1.147,     1.147,   230.357,     0.879,     0.787,     3.352,     1.456,     3.280,   181.135,   126.000
2010- 5-22  0: 0: 0,     1.482,     1.550,     1.911,     1.108,   229.875,     0.877,     0.751,     3.083,     0.034,     0.179,   244.382,   132.000
2010- 5-23  0: 0: 0,     0.010,     3.436,     4.236,     3.691,   226.183,     0.863,     0.711,     2.621,     0.000,     0.000,   255.149,   166.000
2010- 5-24  0: 0: 0,     0.006,     3.772,     4.651,     3.995,   222.188,     0.848,     0.672,     2.149,     0.000,     0.000,   220.607,   194.000
2010- 5-25  0: 0: 0,     0.002,     3.592,     4.428,     3.742,   218.446,     0.833,     0.634,     1.749,     0.000,     0.000,   175.356,   200.000
2010- 5-26  0: 0: 0,     2.673,     2.037,     2.512,     1.809,   218.530,     0.834,     0.609,     1.512,     0.071,     0.117,   134.940,   189.000
2010- 5-27  0: 0: 0,     5.682,     0.721,     0.889,     0.889,   222.321,     0.848,     0.626,     1.670,     0.347,     0.656,   108.154,   166.000
2010- 5-28  0: 0: 0,     0.033,     2.110,     2.602,     2.168,   220.153,     0.840,     0.593,     1.516,     0.000,     0.000,   101.311,   139.000
2010- 5-29  0: 0: 0,     0.029,     3.366,     4.150,     3.446,   216.706,     0.827,     0.562,     1.379,     0.000,     0.000,    96.125,   124.000
2010- 5-30  0: 0: 0,     0.008,     3.599,     4.437,     3.651,   213.056,     0.813,     0.533,     1.251,     0.000,     0.000,    86.256,   118.000
2010- 5-31  0: 0: 0,     0.196,     2.463,     3.036,     2.319,   210.740,     0.804,     0.506,     1.140,     0.000,     0.000,    74.398,   116.000
2010- 6- 1  0: 0: 0,     0.197,     2.485,     3.063,     2.316,   208.431,     0.795,     0.480,     1.050,     0.000,     0.000,    63.046,   105.000
2010- 6- 2  0: 0: 0,     0.003,     2.796,     3.447,     2.725,   205.706,     0.785,     0.456,     0.980,     0.000,     0.000,    53.349,    91.900
2010- 6- 3  0: 0: 0,     0.123,     2.050,     2.527,     1.880,   203.836,     0.778,     0.433,     0.928,     0.000,     0.000,    45.533,    78.900
2010- 6- 4  0: 0: 0,     0.015,     2.966,     3.657,     2.829,   201.007,     0.767,     0.413,     0.890,     0.000,     0.000,    39.392,    64.700
2010- 6- 5  0: 0: 0,     0.013,     2.679,     3.302,     2.513,   198.494,     0.757,     0.394,     0.861,     0.000,     0.000,    34.549,    51.900
2010- 6- 6  0: 0: 0,     0.000,     2.868,     3.536,     2.663,   195.831,     0.747,     0.376,     0.839,     0.000,     0.000,    30.676,    42.700
2010- 6- 7  0: 0: 0,    18.433,     2.470,     3.046,     2.944,   208.366,     0.795,     0.522,     1.819,     1.117,     1.747,    43.594,    38.400
