 DateTime,Rain,PET,EPot,EAct,W,SM,RS,RI,ExcS,ExcI,R,RObs
2013- 4-10  0: 0: 0,     0.070,     2.341,     2.886,     1.813,   161.419,     0.616,     0.120,     0.124,     0.002,     0.002,    12.712,    27.400
2013- 4-11  0: 0: 0,     0.123,     2.519,     3.106,     1.917,   159.573,     0.609,     0.115,     0.112,     0.004,     0.004,    11.192,    40.600
2013- 4-12  0: 0: 0,     0.031,     2.551,     3.145,     1.920,   157.654,     0.601,     0.110,     0.100,     0.000,     0.000,     9.721,    57.900
2013- 4-13  0: 0: 0,     0.000,     2.617,     3.227,     1.965,   155.689,     0.594,     0.106,     0.090,     0.000,     0.000,     8.455,    57.900
2013- 4-14  0: 0: 0,     0.023,     2.685,     3.311,     1.980,   153.709,     0.586,     0.101,     0.082,     0.000,     0.000,     7.402,    50.200
2013- 4-15  0: 0: 0,     0.001,     2.881,     3.551,     2.110,   151.599,     0.578,     0.097,     0.077,     0.000,     0.000,     6.547,    42.600
2013- 4-16  0: 0: 0,     0.023,     2.529,     3.118,     1.809,   149.790,     0.571,     0.093,     0.073,     0.000,     0.000,     5.852,    37.200
2013- 4-17  0: 0: 0,     0.001,     2.577,     3.176,     1.840,   147.950,     0.564,     0.090,     0.070,     0.000,     0.000,     5.279,    34.000
2013- 4-18  0: 0: 0,     0.044,     0.929,     1.146,     0.665,   147.317,     0.562,     0.087,     0.069,     0.002,     0.002,     4.795,    39.600
2013- 4-19  0: 0: 0,    10.674,     0.858,     1.058,     1.058,   155.642,     0.594,     0.184,     0.407,     0.696,     0.595,    10.978,    47.800
2013- 4-20  0: 0: 0,     0.142,     1.396,     1.721,     0.983,   154.706,     0.590,     0.180,     0.396,     0.002,     0.002,    15.660,    46.400
2013- 4-21  0: 0: 0,     0.361,     2.493,     3.073,     1.604,   153.105,     0.584,     0.174,     0.373,     0.000,     0.000,    19.855,    38.100
2013- 4-22  0: 0: 0,     9.798,     0.695,     0.857,     0.857,   160.773,     0.613,     0.262,     0.692,     0.647,     0.626,    30.667,    30.700
2013- 4-23  0: 0: 0,     0.120,     2.105,     2.595,     1.556,   159.265,     0.608,     0.253,     0.629,     0.001,     0.001,    38.234,    23.600
2013- 4-24  0: 0: 0,     0.092,     2.959,     3.648,     2.190,   157.107,     0.599,     0.243,     0.546,     0.001,     0.001,    41.135,    15.000
2013- 4-25  0: 0: 0,     0.062,     2.886,     3.558,     2.130,   155.019,     0.591,     0.233,     0.454,     0.001,     0.002,    39.253,     7.450
2013- 4-26  0: 0: 0,     0.155,     3.110,     3.835,     2.182,   152.837,     0.583,     0.222,     0.368,     0.000,     0.000,    34.586,     8.390
2013- 4-27  0: 0: 0,     0.061,     3.171,     3.910,     2.285,   150.590,     0.575,     0.211,     0.298,     0.001,     0.002,    29.118,    15.400
2013- 4-28  0: 0: 0,     0.733,     3.278,     4.041,     2.134,   148.702,     0.567,     0.202,     0.247,     0.005,     0.005,    24.056,    26.200
2013- 4-29  0: 0: 0,     7.332,     1.149,     1.417,     1.317,   153.793,     0.587,     0.254,     0.450,     0.433,     0.423,    31.263,    37.300
2013- 4-30  0: 0: 0,     0.033,     3.078,     3.795,     2.206,   151.587,     0.578,     0.242,     0.408,     0.000,     0.000,    33.829,    39.600
2013- 5- 1  0: 0: 0,     0.038,     3.192,     3.935,     2.270,   149.324,     0.570,     0.230,     0.364,     0.000,     0.000,    38.060,    34.800
2013- 5- 2  0: 0: 0,     0.043,     3.014,     3.716,     2.122,   147.223,     0.562,     0.218,     0.314,     0.000,     0.001,    37.385,    29.900
2013- 5- 3  0: 0: 0,     0.081,     2.682,     3.307,     1.859,   145.416,     0.555,     0.207,     0.268,     0.002,     0.003,    33.472,    31.600
2013- 5- 4  0: 0: 0,     0.010,     2.353,     2.901,     1.614,   143.801,     0.549,     0.196,     0.228,     0.000,     0.000,    28.588,    34.700
2013- 5- 5  0: 0: 0,     3.251,     2.274,     2.804,     1.870,   144.383,     0.551,     0.197,     0.234,     0.080,     0.063,    24.050,    31.200
2013- 5- 6  0: 0: 0,     1.649,     1.243,     1.533,     0.897,   144.736,     0.552,     0.196,     0.247,     0.064,     0.060,    20.805,    25.300
2013- 5- 7  0: 0: 0,    14.089,     1.504,     1.855,     1.853,   155.254,     0.592,     0.315,     0.705,     0.885,     0.832,    39.396,    20.200
2013- 5- 8  0: 0: 0,     2.337,     0.964,     1.189,     0.950,   156.261,     0.596,     0.314,     0.722,     0.093,     0.109,    53.566,    16.200
