Date,wjb
20120102,29.7
20120103,20.8
20120104,18.4
20120105,17.5
20120106,17.4
20120107,17.4
20120108,18.9
20120109,36.2
20120110,56.1
20120111,42.3
20120112,35.8
20120113,35.6
20120114,36.4
20120115,34.3
20120116,27.2
20120117,20
20120118,17.3
20120119,17.1
20120120,18
20120121,21
20120122,29.4
20120123,36.1
20120124,36.1
20120125,33.3
20120126,33.3
20120127,34.8
20120128,32.1
20120129,26.8
20120130,21.2
20120131,16.7
20120201,14
20120202,14.8
20120203,16.9
20120204,18.5
20120205,19.7
20120206,20.3
20120207,20.1
20120208,19.1
20120209,18.6
20120210,19.2
20120211,47.3
20120212,83.9
20120213,56.2
20120214,24.6
20120215,14.1
20120216,11.2
20120217,10.5
20120218,10.3
20120219,10.7
20120220,13.8
20120221,18.2
20120222,19.6
20120223,16.8
20120224,15.7
20120225,17.2
20120226,19.6
20120227,22.5
20120228,25.7
20120229,29.8
20120301,33.9
20120302,34.9
20120303,32.9
20120304,29.3
20120305,23.3
20120306,17
20120307,19.9
20120308,29.6
20120309,38.4
20120310,42.7
20120311,41.6
20120312,36.7
20120313,29.5
20120314,25.2
20120315,23.5
20120316,21.2
20120317,18.1
20120318,15.3
20120319,18.3
20120320,27.5
20120321,38.6
20120322,48.5
20120323,55.8
20120324,55.3
20120325,49
20120326,55.1
20120327,70.5
20120328,75.3
20120329,76.7
20120330,78
20120331,80.9
20120401,84.1
20120402,84.2
20120403,82.2
20120404,78.1
20120405,67.7
20120406,52
20120407,43.6
20120408,45.3
20120409,51.4
20120410,59.7
20120411,68.7
20120412,72.9
20120413,70.2
20120414,60.6
20120415,47.7
20120416,39.7
20120417,36.3
20120418,38.8
20120419,43.9
20120420,47.3
20120421,48.9
20120422,50.4
20120423,55
20120424,61.7
20120425,65.7
20120426,62.9
20120427,53.9
20120428,47.2
20120429,48.6
20120430,52.5
20120501,47.2
20120502,31.6
20120503,35.1
20120504,43.3
20120505,39.8
20120506,30.7
20120507,36.2
20120508,49.1
20120509,49.7
20120510,45.6
20120511,44.9
20120512,46.3
20120513,43.6
20120514,37
20120515,34.8
20120516,36.2
20120517,34.5
20120518,29.5
20120519,25.8
20120520,23
20120521,21.2
20120522,20.5
20120523,20.7
20120524,21.7
20120525,22.6
20120526,22.8
20120527,22.4
20120528,21.3
20120529,19.5
20120530,17.8
20120531,18.4
20120601,20.9
20120602,24.7
20120603,29.3
20120604,33.1
20120605,31.6
20120606,26.1
20120607,21.7
20120608,27.3
20120609,31.8
20120610,28.6
20120611,21.5
20120612,19.1
20120613,18.6
20120614,15.8
20120615,14
20120616,23.8
20120617,33.7
20120618,29.9
20120619,28.4
20120620,29.2
20120621,29.7
20120622,26.2
20120623,25.4
20120624,23.7
20120625,20.3
20120626,16.1
20120627,14.9
20120628,11.2
20120629,8.18
20120630,11.3
20120701,10.7
20120702,9.55
20120703,12.3
20120704,22.5
20120705,56.4
20120706,114
20120707,168
20120708,188
20120709,174
20120710,184
20120711,211
20120712,229
20120713,247
20120714,243
20120715,212
20120716,167
20120717,119
20120718,96.2
20120719,89
20120720,91.3
20120721,93.3
20120722,82
20120723,65.3
20120724,51.4
20120725,41.4
20120726,34.3
20120727,29.9
20120728,28
20120729,27.5
20120730,27.5
20120731,31
20120801,37.6
20120802,35.2
20120803,27.5
20120804,20.5
20120805,17.4
20120806,21.9
20120807,33.2
20120808,40.9
20120809,38.9
20120810,34
20120811,27.8
20120812,20.2
20120813,6.68
20120814,24.1
20120815,33.7
20120816,25.9
20120817,49.4
20120818,52.9
20120819,50.2
20120820,43.5
20120821,34.5
20120822,28.4
20120823,42.5
20120824,126
20120825,148
20120826,150
20120827,234
20120828,590
20120829,645
20120830,525
20120831,401
20120901,299
20120902,231
20120903,186
20120904,147
20120905,112
20120906,84.3
20120907,69.6
20120908,132
20120909,635
20120910,1810
20120911,1780
20120912,1320
20120913,990
20120914,778
20120915,646
20120916,531
20120917,431
20120918,342
20120919,279
20120920,216
20120921,148
20120922,136
20120923,131
20120924,124
20120925,114
20120926,98.1
20120927,84.6
20120928,84.2
20120929,90.7
20120930,84.8
20121001,67.1
20121002,49.1
20121003,41.7
20121004,40.6
20121005,48.9
20121006,58.2
20121007,58.9
20121008,56.9
20121009,55.2
20121010,62
20121011,94.6
20121012,73.8
20121013,36.4
20121014,49.7
20121015,55.8
20121016,45.1
20121017,35.9
20121018,54.5
20121019,50.2
20121020,41.4
20121021,35
20121022,39.7
20121023,78.4
20121024,68.4
20121025,40.4
20121026,30.4
20121027,83.9
20121028,94.3
20121029,74.5
20121030,53.3
20121031,49.7
20121101,54.9
20121102,61.8
20121103,72.4
20121104,92
20121105,109
20121106,96.7
20121107,74.3
20121108,60.5
20121109,53
20121110,48.9
20121111,49.2
20121112,55.1
20121113,65.3
20121114,71.2
20121115,72.3
20121116,70.4
20121117,66.8
20121118,61
20121119,53.5
20121120,47.5
20121121,43.8
20121122,44.3
20121123,51
20121124,55.4
20121125,51.1
20121126,44.8
20121127,52.6
20121128,87.8
20121129,85.4
20121130,70.6
20121201,67.9
20121202,82.7
20121203,64
20121204,59.5
20121205,94.2
20121206,106
20121207,81.4
20121208,52.6
20121209,39.2
20121210,32.9
20121211,31.4
20121212,33
20121213,37.1
20121214,41.4
20121215,40.8
20121216,41.3
20121217,58.4
20121218,99.8
20121219,81.4
20121220,84.9
20121221,93.1
20121222,89.1
20121223,67.8
20121224,62
20121225,67.5
20121226,75.6
20121227,81.1
20121228,76.3
20121229,69.5
20121230,75.5
20121231,85.8
20130101,72.8
20130102,59.2
20130103,53.4
20130104,61.9
20130105,69.5
20130106,61
20130107,50.4
20130108,55.5
20130109,59.7
20130110,50.7
20130111,42.6
20130112,59.7
20130113,42.9
20130114,24.4
20130115,55.4
20130116,63.8
20130117,58.3
20130118,50.7
20130119,42.9
20130120,44.3
20130121,47.3
20130122,40.7
20130123,35.2
20130124,41.7
20130125,49.5
20130126,48.5
20130127,44.1
20130128,43
20130129,35.5
20130130,39.1
20130131,52.2
20130201,71.5
20130202,91.4
20130203,105
20130204,109
20130205,104
20130206,102
20130207,114
20130208,127
20130209,117
20130210,101
20130211,92.3
20130212,89.1
20130213,87.7
20130214,85.9
20130215,78.6
20130216,70.4
20130217,63.4
20130218,57
20130219,53.4
20130220,52.6
20130221,61.8
20130222,73.2
20130223,77.9
20130224,72
20130225,57.1
20130226,42.4
20130227,36.2
20130228,34.5
20130301,58.7
20130302,98
20130303,82.4
20130304,48.5
20130305,44.7
20130306,60.4
20130307,63
20130308,49.1
20130309,36
20130310,39.6
20130311,51.8
20130312,57.1
20130313,55.4
20130314,56.6
20130315,52.6
20130316,43.8
20130317,36.1
20130318,41.8
20130319,51.1
20130320,57.5
20130321,62.8
20130322,65.5
20130323,63.1
20130324,52.7
20130325,41.3
20130326,37.9
20130327,39.6
20130328,44.9
20130329,51
20130330,56.7
20130331,51.5
20130401,28.7
20130402,28.5
20130403,38.7
20130404,49.3
20130405,56.1
20130406,60.2
20130407,52.6
20130408,40.1
20130409,32.4
20130410,27.4
20130411,40.6
20130412,57.9
20130413,57.9
20130414,50.2
20130415,42.6
20130416,37.2
20130417,34
20130418,39.6
20130419,47.8
20130420,46.4
20130421,38.1
20130422,30.7
20130423,23.6
20130424,15
20130425,7.45
20130426,8.39
20130427,15.4
20130428,26.2
20130429,37.3
20130430,39.6
20130501,34.8
20130502,29.9
20130503,31.6
20130504,34.7
20130505,31.2
20130506,25.3
20130507,20.2
20130508,16.2
20130509,19.4
20130510,27.6
20130511,35.9
20130512,42.5
20130513,43.5
20130514,40.4
20130515,36.5
20130516,31.3
20130517,25.7
